Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,1,0,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,51,63,0,0,0,3,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,52,62,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,54,59,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,55,60,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,56,35,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,57,38,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,58,53,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,60,39,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,61,36,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,62,39,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,63,36,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,64,38,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,65,40,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,66,23,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,67,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,68,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,69,23,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,70,26,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,71,17,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,72,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,73,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,74,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,77,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
